quarter,town,flat_type,price
2017-Q4,Tampines,5-room,534000
2017-Q4,Tampines,Executive,650000
2017-Q4,Toa Payoh,1-room,na
2017-Q4,Toa Payoh,2-room,-
2017-Q4,Toa Payoh,3-room,301900
2017-Q4,Toa Payoh,4-room,620000
2017-Q4,Toa Payoh,5-room,855000
2017-Q4,Toa Payoh,Executive,-
2017-Q4,Woodlands,1-room,na
2017-Q4,Woodlands,2-room,-
2017-Q4,Woodlands,3-room,259000
2017-Q4,Woodlands,4-room,330000
2017-Q4,Woodlands,5-room,408000
2017-Q4,Woodlands,Executive,580000
2017-Q4,Yishun,1-room,na
2017-Q4,Yishun,2-room,-
2017-Q4,Yishun,3-room,268000
2017-Q4,Yishun,4-room,341000
2017-Q4,Yishun,5-room,465000
2017-Q4,Yishun,Executive,-
